firstName,lastName,teams,primaryTeam,position,nationality,race,yearsActive,batHand,throwHand,awards,birthDay,deathDay,realName,nickNames,yearInducted,commentOne,commentTwo
Kiki,Cuyler,"[""Pittsburgh Pirates"", ""Chicago Cubs"", ""Cincinnati Reds"", ""Brooklyn Dodgers""]","[""Pittsburgh Pirates""]",Right Fielder,American,Caucasian,1921–1938,"[""Right""]","[""Right""]","[""World Series Champion (1925)""]",8/30/1898,2/11/1950,Hazen Shirley Cuyler,Kiki,1968,Blazing speed and clutch hitting made him a standout of the 1920s.,Helped Pirates win 1925 World Series.
Ray,Dandridge,"[""Newark Eagles"", ""Minneapolis Millers"", ""New York Cubans""]","[""Newark Eagles""]",Third Baseman,American,African American,1933–1955 (Negro Leagues & Minor Leagues),"[""Right""]","[""Right""]",[],8/31/1913,2/12/1994,Raymond Emmett Dandridge,,1987,Considered one of the finest fielding third basemen in Negro Leagues history.,"Spent years in the minors due to segregation, still excelled well into his 40s."
George,Davis,"[""Cleveland Spiders"", ""New York Giants"", ""Chicago White Sox""]","[""New York Giants""]",Shortstop,American,Caucasian,1890–1909,"[""Switch""]","[""Right""]",[],8/23/1870,10/17/1940,George Stacey Davis,,1998,One of the best all-around players of the dead-ball era.,"Excelled both offensively and defensively, a forgotten early star."
Andre,Dawson,"[""Montreal Expos"", ""Chicago Cubs"", ""Boston Red Sox"", ""Florida Marlins""]","[""Montreal Expos""]",Outfielder,American,African American,1976–1996,"[""Right""]","[""Right""]","[""8× All-Star"", ""1987 NL MVP"", ""8× Gold Glove"", ""4× Silver Slugger""]",7/10/1954,,Andre Nolan Dawson,The Hawk,2010,Power-speed threat who won MVP while playing for a last-place Cubs team.,Renowned for defensive excellence and quiet leadership.
Leon,Day,"[""Baltimore Black Sox"", ""Newark Eagles"", ""Homestead Grays""]","[""Newark Eagles""]",Pitcher / Second Baseman,American,African American,1934–1955 (Negro Leagues),"[""Right""]","[""Right""]",[],10/30/1916,3/13/1995,Leon Day,,1995,Dominant Negro League pitcher known for fastball and versatility.,Inducted just days before his passing.
Dizzy,Dean,"[""St. Louis Cardinals"", ""Chicago Cubs"", ""St. Louis Browns""]","[""St. Louis Cardinals""]",Pitcher,American,Caucasian,1930–1947,"[""Right""]","[""Right""]","[""4× All-Star"", ""1934 NL MVP"", ""1934 World Series Champion""]",1/16/1910,7/17/1974,Jay Hanna Dean,Dizzy,1953,Flamboyant ace of the Gashouse Gang Cardinals.,Later became a beloved broadcaster known for his folksy charm.
Ed,Delahanty,"[""Philadelphia Quakers/Phillies"", ""Cleveland Infants"", ""Washington Senators""]","[""Philadelphia Phillies""]",Left Fielder,American,Caucasian,1888–1903,"[""Right""]","[""Right""]",[],10/30/1867,7/2/1903,Edward James Delahanty,Big Ed,1945,One of the greatest hitters of the 19th century.,Known for his tragic death falling into Niagara Falls.
Bill,Dickey,"[""New York Yankees""]","[""New York Yankees""]",Catcher,American,Caucasian,1928–1946,"[""Left""]","[""Right""]","[""11× All-Star"", ""7× World Series Champion""]",6/6/1907,11/12/1993,William Malcolm Dickey,,1954,Hall of Fame catcher who played entire career with Yankees.,"Later mentored Yogi Berra, another legendary catcher."
Martin,Dihigo,"[""Cuban Stars"", ""New York Cubans"", ""Homestead Grays"", ""Various Cuban/Mexican teams""]","[""Cuban Stars""]",Pitcher / Second Baseman / Outfielder (All Positions),Cuban,Afro-Cuban,1923–1947,"[""Right""]","[""Right""]",[],5/25/1906,5/20/1971,Martín Magdaleno Dihigo Llanos,El Inmortal,1977,"Only person in five Halls of Fame: U.S., Cuba, Mexico, Venezuela, Dominican Republic.",One of the greatest and most versatile players in baseball history.
Joe,DiMaggio,"[""New York Yankees""]","[""New York Yankees""]",Center Fielder,American,Caucasian (Italian-American),1936–1951,"[""Right""]","[""Right""]","[""13× All-Star"", ""9× World Series Champion"", ""3× AL MVP""]",11/25/1914,3/8/1999,Joseph Paul DiMaggio,"Joltin' Joe, The Yankee Clipper",1955,Famous for 56-game hitting streak—MLB record still unbroken.,"An icon of grace, dignity, and excellence on and off the field."
Larry,Doby,"[""Cleveland Indians"", ""Chicago White Sox"", ""Detroit Tigers""]","[""Cleveland Indians""]",Center Fielder,American,African American,1947–1959,"[""Left""]","[""Right""]","[""7× All-Star"", ""World Series Champion (1948)""]",12/13/1923,6/18/2003,Lawrence Eugene Doby,,1998,"First African American player in the American League, shortly after Jackie Robinson.",Broke barriers and became an All-Star and World Champion.
Bobby,Doerr,"[""Boston Red Sox""]","[""Boston Red Sox""]",Second Baseman,American,Caucasian,1937–1951,"[""Right""]","[""Right""]","[""9× All-Star""]",4/7/1918,11/13/2017,Robert Pershing Doerr,Silent Captain,1986,One of the greatest second basemen in Red Sox history.,"Known for consistency, defense, and quiet leadership."
Barney,Dreyfuss,"[""Pittsburgh Pirates""]","[""Pittsburgh Pirates""]",Owner / Executive,German-American,Caucasian,1900–1932,[],[],[],2/23/1865,2/5/1932,Bernhard Dreyfuss,,2008,Pioneered the first modern World Series in 1903.,Built Forbes Field and guided the Pirates to success.
Don,Drysdale,"[""Brooklyn / Los Angeles Dodgers""]","[""Los Angeles Dodgers""]",Pitcher,American,Caucasian,1956–1969,"[""Right""]","[""Right""]","[""9× All-Star"", ""1962 Cy Young Award"", ""3× World Series Champion""]",7/23/1936,7/3/1993,Donald Scott Drysdale,,1984,One of the most intimidating pitchers of his era.,Later became a beloved broadcaster.
Hugh,Duffy,"[""Chicago White Stockings"", ""Boston Beaneaters"", ""Milwaukee Brewers"", ""Philadelphia Phillies""]","[""Boston Beaneaters""]",Outfielder / Manager,American,Caucasian,1888–1906,"[""Right""]","[""Right""]",[],11/26/1866,10/19/1954,Hugh Duffy,,1945,Holds MLB record with .440 batting average in 1894.,One of the best hitters of the 19th century.
Leo,Durocher,"[""New York Yankees"", ""Cincinnati Reds"", ""St. Louis Cardinals"", ""Brooklyn Dodgers""]","[""Brooklyn Dodgers""]",Shortstop / Manager,American,Caucasian,1925–1973,"[""Right""]","[""Right""]","[""1947 NL Manager of the Year"", ""World Series Champion (1954)""]",7/27/1905,10/7/1991,Leo Ernest Durocher,The Lip,1994,Colorful and fiery leader known for the phrase 'Nice guys finish last.',Managed four teams and was a key figure in integration support.
Dennis,Eckersley,"[""Cleveland Indians"", ""Boston Red Sox"", ""Chicago Cubs"", ""Oakland Athletics"", ""St. Louis Cardinals""]","[""Oakland Athletics""]",Pitcher (Starter & Reliever),American,Caucasian,1975–1998,"[""Right""]","[""Right""]","[""6× All-Star"", ""1992 AL MVP"", ""1992 AL Cy Young Award"", ""1989 World Series Champion""]",10/3/1954,,Dennis Lee Eckersley,Eck,2004,One of the few players to excel as both a starter and Hall of Fame closer.,Pioneer of the modern closer role with devastating control. Has his own frickin' lexicon
Billy,Evans,[],[],Umpire,American,Caucasian,1906–1927 (Umpire),[],[],[],2/10/1884,8/31/1956,William George Evans,,1973,One of the youngest major league umpires in history at age 22.,Respected for integrity and later served as executive in multiple leagues.
Johnny,Evers,"[""Chicago Cubs"", ""Boston Braves"", ""Philadelphia Phillies"", ""Chicago White Sox""]","[""Chicago Cubs""]",Second Baseman,American,Caucasian,1902–1929,"[""Left""]","[""Right""]","[""3× World Series Champion"", ""1914 NL MVP""]",7/21/1881,3/28/1947,John Joseph Evers,The Crab,1946,Famous as part of the 'Tinker to Evers to Chance' double-play combo.,Key player in Cubs' early championships and a skilled manager.
Buck,Ewing,"[""Troy Trojans"", ""New York Giants"", ""Cleveland Spiders"", ""Cincinnati Reds""]","[""New York Giants""]",Catcher / First Baseman / Manager,American,Caucasian,1880–1897,"[""Right""]","[""Right""]",[],10/17/1859,10/20/1906,William Ewing,Buck,1939,Regarded as the best catcher of the 19th century.,"Praised for athleticism, leadership, and two-way excellence."
Red,Faber,"[""Chicago White Sox""]","[""Chicago White Sox""]",Pitcher,American,Caucasian,1914–1933,"[""Right""]","[""Right""]",[],9/6/1888,9/25/1976,Urban Clarence Faber,Red,1964,Key contributor to the White Sox 1917 World Series win.,"Known for his mastery of the spitball, which he legally continued after it was banned."
Bob,Feller,"[""Cleveland Indians""]","[""Cleveland Indians""]",Pitcher,American,Caucasian,1936–1956,"[""Right""]","[""Right""]","[""8× All-Star"", ""World Series Champion (1948)""]",11/3/1918,12/15/2010,Robert William Andrew Feller,Rapid Robert,1962,Known for blazing fastballs and strikeout dominance.,Served heroically in WWII before returning to baseball glory.
Rick,Ferrell,"[""St. Louis Browns"", ""Boston Red Sox"", ""Washington Senators""]","[""Washington Senators""]",Catcher,American,Caucasian,1929–1947,"[""Right""]","[""Right""]","[""8× All-Star""]",10/12/1905,7/27/1995,Richard Benjamin Ferrell,,1984,One of the finest defensive catchers of his era.,Longevity and consistency defined his career behind the plate.
Rollie,Fingers,"[""Oakland Athletics"", ""San Diego Padres"", ""Milwaukee Brewers""]","[""Oakland Athletics""]",Relief Pitcher,American,Caucasian,1968–1985,"[""Right""]","[""Right""]","[""7× All-Star"", ""3× World Series Champion"", ""1981 AL MVP"", ""1981 AL Cy Young Award""]",8/25/1946,,Roland Glen Fingers,Rollie,1992,One of the first superstar closers in baseball history.,His signature handlebar mustache is iconic in the sport.
Carlton,Fisk,"[""Boston Red Sox"", ""Chicago White Sox""]","[""Boston Red Sox""]",Catcher,American,Caucasian,1969–1993,"[""Right""]","[""Right""]","[""11× All-Star"", ""1972 AL Rookie of the Year""]",12/26/1947,,Carlton Ernest Fisk,Pudge,2000,Famous for his dramatic walk-off home run in the 1975 World Series.,Holds longevity records for catchers including home runs and games caught.
Elmer,Flick,"[""Philadelphia Phillies"", ""Cleveland Naps""]","[""Cleveland Naps""]",Outfielder,American,Caucasian,1898–1910,"[""Left""]","[""Right""]","[""1905 AL Batting Champion""]",1/11/1876,1/9/1971,Elmer Harrison Flick,,1963,Known for his speed and batting skill during the dead-ball era.,Led league in stolen bases and batting average multiple times.
Whitey,Ford,"[""New York Yankees""]","[""New York Yankees""]",Pitcher,American,Caucasian,1950–1967,"[""Left""]","[""Left""]","[""10× All-Star"", ""6× World Series Champion"", ""1961 AL Cy Young Award""]",10/21/1928,10/8/2020,Edward Charles Ford,The Chairman of the Board,1974,Holds record for most World Series wins (10).,Ace of the Yankees' dynasty teams of the 1950s and 60s.
Bill,Foster,"[""Chicago American Giants"", ""Memphis Red Sox""]","[""Chicago American Giants""]",Pitcher,American,African American,1923–1937,"[""Left""]","[""Left""]",[],6/12/1904,9/16/1978,William Hendrick Foster,,1996,One of the greatest pitchers in Negro Leagues history.,"Known for intelligence, control, and dominance on the mound."
Rube,Foster,"[""Chicago American Giants"", ""Cuban X-Giants""]","[""Chicago American Giants""]",Pitcher / Manager / Executive,American,African American,"1902–1915 (Player), 1920s (Manager/Executive)","[""Right""]","[""Right""]",[],9/17/1879,12/9/1930,Andrew Foster,Father of Black Baseball,1981,Founder of the Negro National League (1920).,Dominant pitcher and visionary leader for African American baseball.
Bud,Fowler,"[""Keokuk Hawkeyes"", ""Page Fence Giants"", ""various minor teams""]","[""Page Fence Giants""]",Second Baseman / Pitcher,American,African American,1878–1904,"[""Right""]","[""Right""]",[],3/16/1858,2/26/1913,John W. Jackson,Bud,2022,First known African American to play professional baseball.,Paved the way for future integration despite fierce segregation.
Nellie,Fox,"[""Philadelphia Athletics"", ""Chicago White Sox"", ""Houston Astros""]","[""Chicago White Sox""]",Second Baseman,American,Caucasian,1947–1965,"[""Left""]","[""Right""]","[""15× All-Star"", ""1959 AL MVP"", ""3× Gold Glove""]",12/25/1927,12/1/1975,Jacob Nelson Fox,Nellie,1997,"Known for durability, hustle, and bat control.",A cornerstone of the 1959 pennant-winning White Sox.
Jimmie,Foxx,"[""Philadelphia Athletics"", ""Boston Red Sox"", ""Chicago Cubs""]","[""Philadelphia Athletics""]",First Baseman / Catcher,American,Caucasian,1925–1945,"[""Right""]","[""Right""]","[""9× All-Star"", ""3× AL MVP"", ""1933 World Series Champion""]",10/22/1907,7/21/1967,James Emory Foxx,"[""Double X"", ""The Beast""]",1951,One of the game's early power-hitting legends.,"Ended career with 534 home runs, third all-time at retirement."
Ford,Frick,[],[],Commissioner / Executive,American,Caucasian,1934–1965,[],[],[],12/19/1894,4/8/1978,Ford Christopher Frick,,1970,Served as National League President and MLB Commissioner.,Introduced the controversial 'asterisk' idea during Maris’s 61 HR season.
Frankie,Frisch,"[""New York Giants"", ""St. Louis Cardinals""]","[""St. Louis Cardinals""]",Second Baseman / Manager,American,Caucasian,1919–1937,"[""Switch""]","[""Right""]","[""4× World Series Champion"", ""1931 NL MVP""]",9/9/1898,3/12/1973,Frank Francis Frisch,The Fordham Flash,1947,Key figure in both Giants and Cardinals championship teams.,Later managed and helped select Hall of Fame inductees.
Pud,Galvin,"[""Buffalo Bisons"", ""Pittsburgh Alleghenys"", ""St. Louis Browns""]","[""Pittsburgh Alleghenys""]",Pitcher,American,Caucasian,1875–1892,"[""Right""]","[""Right""]",[],12/25/1856,3/7/1902,James Francis Galvin,Pud,1965,First pitcher in Major League history to win 300 games.,Played during the early years of professional baseball.
Lou,Gehrig,"[""New York Yankees""]","[""New York Yankees""]",First Baseman,American,Caucasian,1923–1939,"[""Left""]","[""Left""]","[""2× AL MVP"", ""7× All-Star"", ""6× World Series Champion""]",6/19/1903,6/2/1941,Henry Louis Gehrig,The Iron Horse,1939,"Held record for consecutive games played (2,130) for 56 years.",Famous for his 'Luckiest Man' farewell speech.
Charlie,Gehringer,"[""Detroit Tigers""]","[""Detroit Tigers""]",Second Baseman,American,Caucasian,1924–1942,"[""Left""]","[""Right""]","[""6× All-Star"", ""1937 AL MVP"", ""1935 World Series Champion""]",5/11/1903,1/21/1993,Charles Leonard Gehringer,The Mechanical Man,1949,Renowned for consistent hitting and flawless defense.,Lifetime .320 batting average.
Bob,Gibson,"[""St. Louis Cardinals""]","[""St. Louis Cardinals""]",Pitcher,American,African American,1959–1975,"[""Right""]","[""Right""]","[""9× All-Star"", ""2× Cy Young Award"", ""2× World Series MVP"", ""9× Gold Glove""]",11/9/1935,10/2/2020,Robert Gibson,Gibby,1981,Posted a record 1.12 ERA in 1968.,One of the most dominant pitchers in baseball history.
Josh,Gibson,"[""Homestead Grays"", ""Pittsburgh Crawfords""]","[""Homestead Grays""]",Catcher,American,African American,1930–1946,"[""Right""]","[""Right""]","[""2× Negro World Series Champion"", ""Multiple Negro League batting titles""]",12/21/1911,1/20/1947,Joshua Gibson,Black Babe Ruth,1972,Considered one of the greatest power hitters in history.,Credited with nearly 800 career home runs in Negro Leagues and other play.
Warren,Giles,"[""Cincinnati Reds (Executive)""]","[""Cincinnati Reds""]",Executive / League President,American,Caucasian,1937–1969,[],[],[],12/4/1896,2/7/1979,Warren Crandall Giles,,1979,Longtime National League President from 1951 to 1969.,Helped usher in baseball's expansion era.
Pat,Gillick,"[""Toronto Blue Jays"", ""Baltimore Orioles"", ""Seattle Mariners"", ""Philadelphia Phillies""]","[""Toronto Blue Jays""]",Executive / General Manager,American,Caucasian,1978–2011,[],[],"[""3× World Series Champion (1992, 1993, 2008)""]",8/22/1937,,Lawrence Patrick David Gillick,,2011,Mastermind behind multiple championship teams.,Known for team-building expertise.
Tom,Glavine,"[""Atlanta Braves"", ""New York Mets""]","[""Atlanta Braves""]",Pitcher,American,Caucasian,1987–2008,"[""Left""]","[""Left""]","[""2× Cy Young Award"", ""10× All-Star"", ""1995 World Series Champion"", ""1995 World Series MVP""]",3/25/1966,,Thomas Michael Glavine,,2014,One of the winningest left-handers in MLB history.,Key part of Braves' dominant rotation.
Lefty,Gomez,"[""New York Yankees"", ""Washington Senators""]","[""New York Yankees""]",Pitcher,American,Caucasian,1930–1943,"[""Left""]","[""Left""]","[""7× All-Star"", ""5× World Series Champion""]",11/26/1908,2/17/1989,Vernon Louis Gomez,Lefty,1972,Known for both pitching excellence and humor.,Helped Yankees dominate the 1930s.
Joe,Gordon,"[""New York Yankees"", ""Cleveland Indians""]","[""New York Yankees""]",Second Baseman,American,Caucasian,1938–1950,"[""Right""]","[""Right""]","[""9× All-Star"", ""1942 AL MVP"", ""5× World Series Champion""]",2/18/1915,4/14/1978,Joseph Lowell Gordon,Flash,2009,One of the best second basemen of his era.,Excelled both offensively and defensively.
Goose,Goslin,"[""Washington Senators"", ""St. Louis Browns"", ""Detroit Tigers""]","[""Washington Senators""]",Left Fielder / First Baseman,American,Caucasian,1921–1938,"[""Left""]","[""Right""]","[""2× World Series Champion (1935, 1936)""]",4/11/1900,9/26/1971,Leon Allen Goslin,Goose,1968,A .316 career hitter with 248 home runs.,Key contributor to Detroit’s 1935 title team.
Goose,Gossage,"[""Chicago White Sox"", ""Pittsburgh Pirates"", ""New York Yankees"", ""San Diego Padres"", ""Chicago Cubs"", ""St. Louis Cardinals"", ""Seattle Mariners""]","[""Chicago White Sox""]",Relief Pitcher,American,Caucasian,1972–1994,"[""Left""]","[""Right""]","[""9× All-Star"", ""1978 AL Rolaids Relief Man""]",7/5/1951,,Richard Michael Gossage,Goose,2008,One of the first dominant closers in MLB history.,Ninth on MLB career saves list with 310.
Frank,Grant,"[""Buffalo Colored Grooms"", ""Cuban Giants"", ""Cuban Stars (East)""]","[""Buffalo Colored Grooms""]",Second Baseman,American,African American,1886–1900,"[""Switch""]","[""Right""]",[],6/1/1865,10/21/1937,Frank Grant,,2006,Considered one of the greatest 19th‑century Black players.,Exceptional hitter and fielder in Negro Leagues and early integrated teams.
Hank,Greenberg,"[""Detroit Tigers""]","[""Detroit Tigers""]",First Baseman,American,Caucasian,1930–1947,"[""Left""]","[""Right""]","[""2× AL MVP"", ""5× All-Star"", ""2× World Series Champion""]",1/1/1911,9/4/1986,Henry Benjamin Greenberg,Hammerin’ Hank,1956,One of the first Jewish MVPs in MLB.,Hit 58 homers in 1938 season.
Ken,Griffey Jr.,"[""Seattle Mariners"", ""Cincinnati Reds"", ""Chicago White Sox""]","[""Seattle Mariners""]",Center Fielder,American,African American,1989–2010,"[""Left""]","[""Left""]","[""13× All-Star"", ""10× Gold Glove"", ""7× Silver Slugger"", ""1997 AL MVP""]",11/21/1969,,George Kenneth Griffey Jr.,"The Kid, Junior",2016,One of the most iconic swings in baseball history.,Hit 630 career home runs.
Clark,Griffith,"[""St. Louis Browns"", ""Boston Reds"", ""Chicago Colts"", ""Chicago White Stockings"", ""New York Highlanders"", ""Washington Senators (Owner/Manager)""]","[""Washington Senators""]",Pitcher / Manager / Owner,American,Caucasian,"1891–1914 (Player), 1912–1955 (Executive)","[""Right""]","[""Right""]",[],11/20/1869,10/27/1955,Clark Calvin Griffith,The Old Fox,1946,"Successful as a player, manager, and long-time owner of the Senators.",Key figure in early American League history.
Burleigh,Grimes,"[""Pittsburgh Pirates"", ""Brooklyn Robins"", ""New York Giants"", ""Boston Braves"", ""St. Louis Cardinals"", ""Chicago Cubs"", ""New York Yankees""]","[""Brooklyn Robins""]",Pitcher,American,Caucasian,1916–1934,"[""Right""]","[""Right""]","[""World Series Champion (1931)""]",8/18/1893,12/6/1985,Burleigh Arland Grimes,Ol' Stubblebeard,1964,Last pitcher legally allowed to throw the spitball after it was banned.,270 career wins with gritty competitiveness.
Lefty,Grove,"[""Philadelphia Athletics"", ""Boston Red Sox""]","[""Philadelphia Athletics""]",Pitcher,American,Caucasian,1925–1941,"[""Left""]","[""Left""]","[""2× World Series Champion (1929, 1930)"", ""1931 AL MVP"", ""9× ERA Leader""]",3/6/1900,5/22/1975,Robert Moses Grove,Lefty,1947,One of the most dominant pitchers of the pre-war era.,Won 300 games with a career ERA of 3.06.
Vladimir,Guerrero,"[""Montreal Expos"", ""Los Angeles Angels"", ""Texas Rangers"", ""Baltimore Orioles""]","[""Montreal Expos"", ""Los Angeles Angels""]",Right Fielder,Dominican,Latino,1996–2011,"[""Right""]","[""Right""]","[""9× All-Star"", ""2004 AL MVP"", ""8× Silver Slugger""]",2/9/1975,,Vladimir Alvino Guerrero,Vlad the Impaler,2018,Feared hitter with incredible hand-eye coordination.,One of the greatest Dominican players of all time.
Tony,Gwynn,"[""San Diego Padres""]","[""San Diego Padres""]",Right Fielder,American,African American,1982–2001,"[""Left""]","[""Left""]","[""15× All-Star"", ""8× NL Batting Champion"", ""5× Gold Glove"", ""7× Silver Slugger""]",5/9/1960,6/16/2014,Anthony Keith Gwynn Sr.,Mr. Padre,2007,"Lifetime .338 batting average and over 3,000 hits.",Beloved for loyalty and consistency in San Diego.
Chick,Hafey,"[""St. Louis Cardinals (1924–1931)"", ""Cincinnati Reds (1932–1935, 1937)""]","[""St. Louis Cardinals""]",Left Fielder,American,Caucasian,1924–1937,"[""Right""]","[""Right""]","[""1931 NL Batting Champion"", ""1933 NL All-Star""]",2/12/1903,7/2/1973,Charles James Hafey,,1971,First All‑Star Game hit and cleanup hitter in inaugural 1933 game,Known for playing with eyeglasses due to beaning injuries
Jesse,Haines,"[""St. Louis Cardinals (1920–1937)"", ""Cincinnati Reds (1918)""]","[""St. Louis Cardinals""]",Pitcher,American,Caucasian,"1918, 1920–1937","[""Right""]","[""Right""]","[""3× World Series champion (1926, 1931, 1934)""]",7/22/1893,8/5/1978,Jesse Joseph Haines,Pop,1970,210 career wins with a sweeping knuckleball,"Cardinals’ leader in shutouts, pitched into his 40s"
Roy,Halladay,"[""Toronto Blue Jays (1998–2009)"", ""Philadelphia Phillies (2010–2013)""]","[""Toronto Blue Jays"", ""Philadelphia Phillies""]",Pitcher,American,Caucasian,1998–2013,"[""Right""]","[""Right""]","[""8× All-Star"", ""2× Cy Young Award"", ""Perfect Game (2010)"", ""Postseason no-hitter (2010)""]",5/14/1977,11/7/2017,Roy Cleveland Halladay III,Doc,2019,One of only two pitchers with both a perfect game and postseason no-hitter,"Career 203 wins and 2,954 strikeouts"
Billy,Hamilton,"[""Philadelphia Phillies (1888–1891)"", ""Boston Reds (ALA)"", ""Chicago Colts""]","[""Philadelphia Phillies""]",Center Fielder,American,Caucasian,1888–1895,"[""Left""]","[""Left""]",[],3/16/1866,4/21/1940,William Henry Hamilton,Sliding Billy,1961,Led NL in stolen bases six times,One of the fastest players of 19th-century baseball
Ned,Hanlon,"[""Baltimore Orioles (NL)"", ""Brooklyn Superbas"", ""New York Giants""]","[""Baltimore Orioles""]",Manager,American,Caucasian,1892–1908 (manager),[],[],"[""4× NL pennant (Orioles)""]",11/12/1857,1/22/1937,Edward Hanlon,,1996,Pioneer of 'inside baseball' and strategic play,Led Baltimore to four NL pennants in 1890s
Will,Harridge,[],[],Executive / American League President,American,Caucasian,1931–1958,[],[],[],10/16/1883,4/9/1971,William Harridge,,1972,Served as President of the American League for 27 years.,Instrumental in modernizing the league during his tenure.
Bucky,Harris,"[""Washington Senators"", ""Detroit Tigers"", ""Boston Red Sox"", ""Philadelphia Phillies"", ""New York Yankees""]","[""Washington Senators""]",Second Baseman / Manager,American,Caucasian,"1919–1941 (player), managed through 1956","[""Right""]","[""Right""]",[],11/8/1896,11/8/1977,Stanley Raymond Harris,The Boy Wonder,1975,"At 27, led Senators to first World Series title as player-manager.",Managed multiple clubs over a 29-year managerial career.
Gabby,Hartnett,"[""Chicago Cubs"", ""New York Giants""]","[""Chicago Cubs""]",Catcher,American,Caucasian,1922–1941,"[""Right""]","[""Right""]","[""NL MVP (1935)"", ""6× All-Star""]",12/20/1900,12/20/1972,Charles Leo Hartnett,Gabby,1955,Known for the 'Homer in the Gloamin’' that clinched the 1938 NL pennant.,One of the greatest catchers of his era.
Doug,Harvey,[],[],Umpire,American,Caucasian,1962–1992,[],[],[],3/13/1930,1/13/2018,Harold Douglas Harvey,God,2010,Widely regarded as one of the greatest umpires in MLB history.,"Known for fairness, integrity, and command of the game."
Harry,Heilmann,"[""Detroit Tigers"", ""Cincinnati Reds""]","[""Detroit Tigers""]",Right Fielder / First Baseman,American,Caucasian,1914–1932,"[""Right""]","[""Right""]","[""4× AL Batting Champion""]",8/3/1894,7/9/1951,Harry Edwin Heilmann,Slug,1952,One of the premier hitters of the 1920s; career .342 average.,Beloved Tigers legend and later a popular radio announcer.
Todd,Helton,"[""Colorado Rockies""]","[""Colorado Rockies""]",First Baseman,American,Caucasian,1997–2013,"[""Left""]","[""Left""]","[""5× All-Star"", ""4× Silver Slugger"", ""3× Gold Glove""]",8/20/1973,,Todd Lynn Helton,,2024,One of the most consistent hitters of his era with a .316 career average.,Played entire career with Rockies; beloved Colorado icon.
Rickey,Henderson,"[""Oakland Athletics"", ""New York Yankees"", ""Toronto Blue Jays"", ""San Diego Padres"", ""Anaheim Angels"", ""Boston Red Sox"", ""New York Mets"", ""Seattle Mariners"", ""Los Angeles Dodgers""]","[""Oakland Athletics""]",Left Fielder,American,African American,1979–2003,"[""Right""]","[""Left""]","[""10× All-Star"", ""2× World Series Champion"", ""AL MVP (1990)""]",12/25/1958,,Rickey Nelson Henley Henderson,Man of Steal,2009,"MLB's all-time leader in stolen bases, runs, and leadoff homers.","Famed for electrifying speed, swagger, and longevity."
Billy,Herman,"[""Chicago Cubs"", ""Brooklyn Dodgers"", ""Boston Braves"", ""Pittsburgh Pirates""]","[""Chicago Cubs""]",Second Baseman,American,Caucasian,1931–1947,"[""Right""]","[""Right""]","[""10× All-Star""]",7/7/1909,9/5/1992,William Jennings Bryan Herman,Billy,1975,One of the best defensive second basemen of his time.,Known for consistency at bat and leadership on the field.
Whitey,Herzog,"[""Kansas City Royals"", ""St. Louis Cardinals"", ""Texas Rangers"", ""California Angels""]","[""St. Louis Cardinals""]",Manager,American,Caucasian,1973–1990,"[""Left""]","[""Left""]","[""1982 World Series Champion"", ""3× NL Pennant""]",11/9/1931,,Dorrel Norman Elvert Herzog,Whitey,2010,"Famed for 'Whiteyball,' a speed and defense-focused strategy.",Led Cardinals to three NL pennants and a World Series title.
Pete,Hill,"[""Philadelphia Giants"", ""Leland Giants"", ""Chicago American Giants""]","[""Chicago American Giants""]",Outfielder / Manager,American,African American,1899–1925,"[""Left""]","[""Left""]",[],10/12/1882,12/19/1951,John Preston Hill,Pete,2006,One of the greatest Negro League players of the early era.,Highly respected for both playing skill and leadership.
Gil,Hodges,"[""Brooklyn Dodgers"", ""Los Angeles Dodgers"", ""New York Mets""]","[""Brooklyn Dodgers""]",First Baseman / Manager,American,Caucasian,1943–1963,"[""Right""]","[""Right""]","[""8× All-Star"", ""3× Gold Glove"", ""1969 World Series Champion (Manager)""]",4/4/1924,4/2/1972,Gilbert Raymond Hodges,,2022,Key player for the Boys of Summer Dodgers.,Managed the 'Miracle Mets' to 1969 title.
Trevor,Hoffman,"[""San Diego Padres"", ""Milwaukee Brewers""]","[""San Diego Padres""]",Pitcher (Closer),American,Caucasian,1993–2010,"[""Right""]","[""Right""]","[""7× All-Star"", ""2× NL Saves Leader""]",10/13/1967,,Trevor William Hoffman,,2018,Second player in MLB history with 600 saves.,Known for devastating changeup and 'Hells Bells' entrance.
Harry,Hooper,"[""Boston Red Sox"", ""Chicago White Sox""]","[""Boston Red Sox""]",Right Fielder,American,Caucasian,1909–1925,"[""Left""]","[""Right""]","[""4× World Series Champion""]",8/24/1887,12/18/1974,Harry Bartholomew Hooper,,1971,Outstanding defensive outfielder and base runner.,Holds Red Sox record for most World Series wins.
Rogers,Hornsby,"[""St. Louis Cardinals"", ""Chicago Cubs"", ""Boston Braves"", ""New York Giants"", ""St. Louis Browns""]","[""St. Louis Cardinals""]",Second Baseman / Manager,American,Caucasian,1915–1937,"[""Right""]","[""Right""]","[""2× NL MVP"", ""7× NL Batting Champion""]",4/27/1896,1/5/1963,Rogers Hornsby Sr.,The Rajah,1942,Holds highest career batting average in National League history (.358).,Led Cardinals to first World Series title in 1926.
